date,code,industry_code,industry_name
2024-08-23,000021.SZ,801080.SI,电子  
2024-08-23,000050.SZ,801080.SI,电子  
2024-08-23,000066.SZ,801750.SI,计算机  
2024-08-23,000636.SZ,801080.SI,电子  
2024-08-23,000997.SZ,801750.SI,计算机  
2024-08-23,002065.SZ,801750.SI,计算机  
2024-08-23,002138.SZ,801080.SI,电子  
2024-08-23,002152.SZ,801750.SI,计算机  
2024-08-23,002153.SZ,801750.SI,计算机  
2024-08-23,002156.SZ,801080.SI,电子  
2024-08-23,002185.SZ,801080.SI,电子  
2024-08-23,002195.SZ,801750.SI,计算机  
2024-08-23,002261.SZ,801750.SI,计算机  
2024-08-23,002268.SZ,801750.SI,计算机  
2024-08-23,002273.SZ,801080.SI,电子  
2024-08-23,002281.SZ,801770.SI,通信  
2024-08-23,002368.SZ,801750.SI,计算机  
2024-08-23,002373.SZ,801750.SI,计算机  
2024-08-23,002384.SZ,801080.SI,电子  
2024-08-23,002409.SZ,801080.SI,电子  
2024-08-23,002436.SZ,801080.SI,电子  
2024-08-23,002439.SZ,801750.SI,计算机  
2024-08-23,003031.SZ,801770.SI,通信  
2024-08-23,300017.SZ,801750.SI,计算机  
2024-08-23,300054.SZ,801080.SI,电子  
2024-08-23,300088.SZ,801080.SI,电子  
2024-08-23,300136.SZ,801080.SI,电子  
2024-08-23,300212.SZ,801750.SI,计算机  
2024-08-23,300253.SZ,801750.SI,计算机  
2024-08-23,300285.SZ,801080.SI,电子  
2024-08-23,300296.SZ,801080.SI,电子  
2024-08-23,300373.SZ,801080.SI,电子  
2024-08-23,300383.SZ,801770.SI,通信  
2024-08-23,300394.SZ,801770.SI,通信  
2024-08-23,300502.SZ,801770.SI,通信  
2024-08-23,300604.SZ,801080.SI,电子  
2024-08-23,300682.SZ,801750.SI,计算机  
2024-08-23,300803.SZ,801750.SI,计算机  
2024-08-23,300866.SZ,801080.SI,电子  
2024-08-23,301165.SZ,801770.SI,通信  
2024-08-23,301236.SZ,801750.SI,计算机  
2024-08-23,600131.SH,801750.SI,计算机  
2024-08-23,600271.SH,801750.SI,计算机  
2024-08-23,600498.SH,801770.SI,通信  
2024-08-23,600536.SH,801750.SI,计算机  
2024-08-23,600563.SH,801080.SI,电子  
2024-08-23,600707.SH,801080.SI,电子  
2024-08-23,601231.SH,801080.SI,电子  
2024-08-23,603160.SH,801080.SI,电子  
2024-08-23,603228.SH,801080.SI,电子  
2024-08-23,603290.SH,801080.SI,电子  
2024-08-23,603893.SH,801080.SI,电子  
2024-08-23,603927.SH,801750.SI,计算机  
2024-08-23,605358.SH,801080.SI,电子  
2024-08-23,688052.SH,801080.SI,电子  
2024-08-23,688099.SH,801080.SI,电子  
2024-08-23,688107.SH,801080.SI,电子  
2024-08-23,688120.SH,801080.SI,电子  
2024-08-23,688153.SH,801080.SI,电子  
2024-08-23,688172.SH,801080.SI,电子  
2024-08-23,688188.SH,801750.SI,计算机  
2024-08-23,688200.SH,801080.SI,电子  
2024-08-23,688213.SH,801080.SI,电子  
2024-08-23,688220.SH,801080.SI,电子  
2024-08-23,688234.SH,801080.SI,电子  
2024-08-23,688385.SH,801080.SI,电子  
2024-08-23,688387.SH,801770.SI,通信  
2024-08-23,688475.SH,801750.SI,计算机  
2024-08-23,688521.SH,801080.SI,电子  
2024-08-23,688525.SH,801080.SI,电子  
2024-08-23,688536.SH,801080.SI,电子  
2024-08-23,688538.SH,801080.SI,电子  
2024-08-23,688561.SH,801750.SI,计算机  
